Item,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks),S+,S-,S+ + S-,p,,,,,,,,
1,0.056131538,4.96E-05,7.58E-06,0.095370601,0.004419418,0.099790019,0.044287177,,,,,,,,
2,0.113121589,3.14E-06,7.58E-06,0.038380539,0.003215617,0.041596156,0.077305629,,,,,,,,
3,0.035603,0.000102832,3.79E-06,0.115899171,0.008753859,0.12465303,0.070225799,,,,,,,,
4,0.143351313,3.20E-05,3.79E-06,0.008150868,0.004620035,0.012770903,0.361762606,,,,,,,,
5,0.025755362,4.81E-05,7.58E-06,0.125746774,0.01113293,0.136879704,0.081333681,,,,,,,,
6,0.072418017,8.88E-05,2.53E-06,0.079084158,0.001587651,0.080671808,0.019680364,,,,,,,,
7,0.020200284,3.22E-06,3.79E-06,0.131301844,0.012560617,0.143862461,0.087309899,,,,,,,,
8,0.00713575,5.19E-05,5.05E-06,0.144366386,0.016161679,0.160528065,0.100678217,,,,,,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks)
9,0.151502127,2.79E-06,5.05E-06,2.53E-06,0.004686399,0.004688933,0.999459549,,,,,V+,0.151502,0.000003,0.000003
10,0.05555078,0.000119977,6.31E-06,0.095951419,0.0045304,0.100481819,0.045086762,,,,,V-,0.004681,0.000216,0.00001
11,0.037875532,4.42E-05,3.79E-06,0.113626603,0.008232423,0.121859027,0.067556943,,,,,,,,
12,0.045450638,3.14E-06,5.05E-06,0.106051489,0.006569057,0.112620546,0.058329116,,,,,,,,
13,0.026452271,4.67E-05,5.05E-06,0.125049864,0.010958181,0.136008045,0.080570094,,,,,,,,
14,0.012625177,4.33E-05,5.05E-06,0.138876956,0.01460699,0.153483946,0.095169495,,,,,,,,
15,0.030300425,4.44E-05,5.05E-06,0.121201709,0.010010769,0.131212478,0.076294335,,,,,,,,
16,0.023735333,2.68E-06,5.05E-06,0.127766794,0.011644943,0.139411737,0.083529141,,,,,,,,
17,0.023573731,5.06E-06,2.53E-06,0.127928396,0.011686256,0.139614653,0.083703653,,,,,,,,
18,0.025452357,8.80E-05,3.79E-06,0.126049799,0.011209211,0.13725901,0.081664666,,,,,,,,
19,0.030300425,3.23E-05,2.53E-06,0.121201706,0.010010769,0.131212474,0.076294337,,,,,,,,
20,0.036360511,4.42E-05,3.79E-06,0.115141624,0.008578897,0.123720522,0.069340941,,,,,,,,
21,0.02424034,2.85E-06,6.31E-06,0.127261787,0.011516174,0.138777961,0.082982728,,,,,,,,
22,0.023705033,4.64E-05,7.58E-06,0.127797102,0.011652685,0.139449787,0.083561869,,,,,,,,
23,0.030300425,0.000122035,7.58E-06,0.121201761,0.010010768,0.131212529,0.076294303,,,,,,,,
24,0.015150213,8.34E-05,7.58E-06,0.136351939,0.013912107,0.150264045,0.092584401,,,,,,,,
25,0.077528689,7.43E-05,1.01E-05,0.073973474,0.000819643,0.074793117,0.010958804,,,,,,,,
26,0.007575106,8.24E-05,5.05E-06,0.143927043,0.016035027,0.159962071,0.100242684,,,,,,,,
27,0.017220742,2.63E-05,7.58E-06,0.134281388,0.013351823,0.147633211,0.090439157,,,,,,,,
28,0.011620213,5.40E-05,6.31E-06,0.139881924,0.014887102,0.154769026,0.096189157,,,,,,,,
29,0.005050071,4.62E-06,3.79E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
30,0.007575106,0.000164052,6.31E-06,0.143927112,0.016035027,0.159962139,0.10024264,,,,,,,,
31,0.005050071,3.92E-05,6.31E-06,0.146452061,0.016768181,0.163220242,0.102733466,,,,,,,,
32,0.044440624,4.42E-05,6.31E-06,0.107061512,0.006784191,0.113845703,0.059591105,,,,,,,,
33,0.005050071,4.62E-06,3.79E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
34,0.010478897,8.73E-05,7.58E-06,0.141023256,0.015207671,0.156230926,0.097340974,,,,,,,,
35,0.025250355,8.13E-05,5.05E-06,0.126251797,0.011260167,0.137511965,0.081885001,,,,,,,,
36,0.017170241,3.22E-05,5.05E-06,0.13433189,0.013365386,0.147697276,0.09049176,,,,,,,,
37,0.005050071,4.43E-06,6.31E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
38,0.005555078,9.13E-05,5.05E-06,0.145947076,0.01662053,0.162567606,0.102237649,,,,,,,,
39,0.007070099,4.43E-06,6.31E-06,0.144432028,0.016180638,0.160612666,0.100743223,,,,,,,,
40,0.007575106,8.46E-05,7.58E-06,0.143927045,0.016035027,0.159962072,0.100242683,,,,,,,,
41,0.029542915,4.42E-05,2.53E-06,0.12195922,0.010194924,0.132154143,0.077144184,,,,,,,,
42,0.033229467,8.42E-05,5.05E-06,0.118272689,0.009309514,0.127582203,0.072968751,,,,,,,,
43,0.010100142,3.06E-06,5.05E-06,0.141401986,0.01531463,0.156716616,0.097721802,,,,,,,,
44,0.026310869,2.98E-06,5.05E-06,0.125191258,0.010993559,0.136184817,0.08072529,,,,,,,,
45,0.011504062,8.59E-05,5.05E-06,0.139998091,0.014919607,0.154917698,0.096306667,,,,,,,,
46,0.013382688,0.000193014,4.42E-06,0.138119571,0.014397185,0.152516756,0.094397397,,,,,,,,
47,0.015150213,3.14E-06,3.16E-06,0.136351915,0.013912107,0.150264022,0.092584417,,,,,,,,
48,0.121201702,2.79E-06,5.05E-06,0.030300426,0.003769497,0.034069923,0.110640031,,,,,,,,
49,0.070988847,7.87E-05,7.58E-06,0.080513317,0.001813886,0.082327203,0.022032648,,,,,,,,
50,0.060949306,4.81E-05,5.05E-06,0.090552833,0.003525026,0.094077859,0.037469237,,,,,,,,
51,0.074236042,4.42E-05,5.05E-06,0.077266096,0.00130662,0.078572716,0.016629435,,,,,,,,
52,0.007575106,3.36E-05,7.58E-06,0.143927025,0.016035027,0.159962052,0.100242696,,,,,,,,
53,0.017498496,7.45E-05,3.16E-06,0.134003651,0.013277316,0.147280967,0.090149569,,,,,,,,
54,0.007575106,4.42E-05,5.05E-06,0.143927027,0.016035027,0.159962055,0.100242695,,,,,,,,
55,0.012625177,4.48E-05,5.05E-06,0.138876957,0.01460699,0.153483946,0.095169495,,,,,,,,
56,0.008080113,1.46E-05,5.05E-06,0.143422015,0.015889927,0.159311942,0.099740969,,,,,,,,
57,0.025250355,3.14E-06,3.79E-06,0.126251773,0.011260168,0.13751194,0.081885017,,,,,,,,
58,0.005050071,6.09E-05,3.79E-06,0.146452068,0.016768181,0.163220249,0.102733461,,,,,,,,
59,0.0427236,8.72E-05,5.05E-06,0.10877856,0.007154615,0.115933176,0.061713269,,,,,,,,
60,0.010999054,0.000112061,5.05E-06,0.140503116,0.015061247,0.155564363,0.096816823,,,,,,,,
61,0.005050071,0.000131782,5.05E-06,0.146452114,0.016768181,0.163220295,0.102733432,,,,,,,,
62,0.010100142,4.43E-06,7.58E-06,0.141401986,0.01531463,0.156716616,0.097721802,,,,,,,,
63,0.004923819,4.97E-05,5.05E-06,0.146578316,0.016805174,0.16338349,0.102857233,,,,,,,,
64,0.016145077,8.13E-05,6.31E-06,0.135357074,0.013641827,0.1489989,0.091556558,,,,,,,,
65,0.04343061,2.68E-06,5.05E-06,0.108071518,0.007001372,0.115072889,0.060842931,,,,,,,,
66,0.026260369,0.000215827,6.31E-06,0.12524194,0.011006202,0.136248143,0.080780569,,,,,,,,
67,0.005050071,4.62E-06,4.42E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
68,0.097986526,6.78E-05,7.58E-06,0.053515641,0.001830293,0.055345935,0.03307006,,,,,,,,
69,0.050500709,3.14E-06,3.79E-06,0.101001418,0.005524098,0.106525516,0.051857039,,,,,,,,
70,0.006666094,0.000193014,7.58E-06,0.144836159,0.016297493,0.161133652,0.101142701,,,,,,,,
71,0.005630829,9.16E-05,5.05E-06,0.145871326,0.016598426,0.162469752,0.102163178,,,,,,,,
72,0.004873318,0.000208682,2.53E-06,0.146628954,0.016819979,0.163448933,0.102906632,,,,,,,,
73,0.004822818,0.000141806,7.58E-06,0.146679376,0.016834791,0.163514166,0.102956159,,,,,,,,
74,0.004681416,4.59E-05,2.53E-06,0.146820718,0.016876289,0.163697007,0.103094669,,,,,,,,
75,0.006262088,8.60E-05,3.79E-06,0.145240064,0.016414675,0.161654739,0.101541566,,,,,,,,
76,0.047273714,4.42E-05,3.79E-06,0.104228422,0.006185921,0.110414343,0.056024614,,,,,,,,
77,0.010100142,4.62E-06,3.79E-06,0.141401986,0.01531463,0.156716616,0.097721802,,,,,,,,
78,0.005151072,8.11E-05,6.31E-06,0.146351076,0.01673861,0.163089686,0.102634388,,,,,,,,
79,0.093027356,9.42E-05,5.05E-06,0.058474843,0.001280476,0.059755319,0.021428654,,,,,,,,
80,0.017473245,7.97E-06,5.05E-06,0.134028882,0.013284083,0.147312965,0.090175924,,,,,,,,
81,0.007767009,0.000111076,5.05E-06,0.143735159,0.015979829,0.159714989,0.100052157,,,,,,,,
82,0.010100142,4.62E-06,6.31E-06,0.141401986,0.01531463,0.156716616,0.097721802,,,,,,,,
83,0.015150213,4.62E-06,2.53E-06,0.136351915,0.013912107,0.150264022,0.092584417,,,,,,,,
84,0.025250355,4.71E-05,2.53E-06,0.126251781,0.011260168,0.137511948,0.081885012,,,,,,,,
85,0.028785404,5.38E-05,5.05E-06,0.122716734,0.010380227,0.133096961,0.077989965,,,,,,,,
86,0.009605235,9.69E-05,6.31E-06,0.141896924,0.015454823,0.157351747,0.09821831,,,,,,,,
87,0.005050071,2.58E-06,5.05E-06,0.146452057,0.016768181,0.163220238,0.102733469,,,,,,,,
88,0.007676108,4.42E-05,6.31E-06,0.143826026,0.016005967,0.159831992,0.100142445,,,,,,,,
89,0.024871599,4.42E-05,7.58E-06,0.126630535,0.011355931,0.137986466,0.082297423,,,,,,,,
90,0.03848154,8.76E-05,5.05E-06,0.113020619,0.008095121,0.12111574,0.066837895,,,,,,,,
91,0.017170241,4.76E-05,2.53E-06,0.134331894,0.013365386,0.14769728,0.090491757,,,,,,,,
92,0.030451928,4.42E-05,5.05E-06,0.121050207,0.009974076,0.131024283,0.076123871,,,,,,,,
93,0.008090214,0.000130873,7.58E-06,0.143411971,0.01588703,0.159299002,0.099730885,,,,,,,,
94,0.009544634,8.79E-05,5.05E-06,0.141957519,0.015472023,0.157429542,0.098279031,,,,,,,,
95,0.005302574,9.38E-05,7.58E-06,0.146199582,0.016694292,0.162893873,0.102485694,,,,,,,,
96,0.014544204,3.14E-06,3.79E-06,0.136957923,0.014077715,0.151035638,0.093207903,,,,,,,,
97,0.009393132,2.68E-06,5.05E-06,0.142108996,0.015515055,0.157624051,0.098430762,,,,,,,,
98,0.016665234,4.42E-05,5.05E-06,0.1348369,0.013501301,0.148338201,0.09101702,,,,,,,,
99,0.006161087,1.07E-05,2.53E-06,0.145341041,0.016444022,0.161785063,0.101641163,,,,,,,,
100,0.009090128,8.93E-05,3.79E-06,0.142412026,0.015601258,0.158013284,0.098733838,,,,,,,,
